2026/05/28 19:06:20 [error] 12180#22312: *6306 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1779973835.8313910961151123046875 HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "acm-local.local"
2026/06/09 18:30:31 [error] 12356#28448: *7170 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7174 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7168 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7168 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7177 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7177 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7179 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&search=&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7179 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&search=&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7172 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7181 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7181 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7170 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7183 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7188 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&search=&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7184 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7185 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7186 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
2026/06/09 18:30:31 [error] 12356#28448: *7187 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "acm-local.local", referrer: "http://acm-local.local/wp-admin/admin.php?page=simply-static-generate"
